Job,Production_Plan_ID,Operation,Machine,Arrival,Start,Processing Time,End
6,6,8,M07,501,1201.22,35.55,1236.77
6,6,9,M04,501,1263.5,61.2,1324.7
7,7,0,M02,528,658.0,29.97,687.97
7,7,1,M00,528,740.01,143.16,883.17
7,7,2,M01,528,883.17,36.46,919.63
7,7,3,M05,528,919.63,88.92,1008.55
7,7,4,M04,528,1008.55,28.49,1037.04
7,7,5,M06,528,1072.54,72.23,1144.77
7,7,6,M08,528,1201.22,24.02,1225.24
7,7,7,M09,528,1225.24,59.32,1284.56
7,7,8,M07,528,1323.68,35.56,1359.24
7,7,9,M03,528,1375.42,91.64,1467.06
8,8,0,M00,550,584.0,104.38,688.38
8,8,1,M01,550,688.38,38.12,726.5
8,8,2,M03,550,907.06,106.83,1013.89
8,8,3,M05,550,1037.74,29.07,1066.81
8,8,4,M02,550,1066.81,73.07,1139.88
8,8,5,M09,550,1151.34,9.84,1161.18
8,8,6,M06,550,1194.18,30.87,1225.05
8,8,7,M07,550,1236.77,44.46,1281.23
8,8,8,M04,550,1380.66,22.47,1403.13
8,8,9,M08,550,1439.18,65.59,1504.77
9,9,0,M01,559,599.0,74.29,673.29
9,9,1,M00,559,724.14,15.87,740.01
9,9,2,M02,559,740.01,47.53,787.54
9,9,3,M06,559,849.78,10.07,859.85
9,9,4,M08,559,884.12,63.27,947.39
9,9,5,M09,559,958.06,78.54,1036.6
9,9,6,M05,559,1066.81,49.84,1116.65
9,9,7,M03,559,1118.96,80.43,1199.39
9,9,8,M04,559,1199.39,64.11,1263.5
9,9,9,M07,559,1281.23,42.45,1323.68
