Job,Operation,Machine,Processing Time,Routing_ID,Arrival,Ready Time,Deadline,Start,End,Tardiness
J13,7,M03,98,3,1001,1440,2287.0,1947.0,2045.0,0.0
J13,8,M09,22,3,1001,1440,2287.0,2048.0,2070.0,0.0
J13,9,M05,43,3,1001,1440,2287.0,2103.0,2146.0,0.0
J14,0,M02,14,4,1127,1440,1899.0,1127.0,1141.0,0.0
J14,1,M00,6,4,1127,1440,1899.0,1141.0,1147.0,0.0
J14,2,M01,22,4,1127,1440,1899.0,1180.0,1202.0,0.0
J14,3,M05,61,4,1127,1440,1899.0,1328.0,1389.0,0.0
J14,4,M03,26,4,1127,1440,1899.0,1392.0,1418.0,0.0
J14,5,M04,69,4,1127,1440,1899.0,1418.0,1487.0,0.0
J14,6,M08,21,4,1127,1440,1899.0,1496.0,1517.0,0.0
J14,7,M07,49,4,1127,1440,1899.0,1617.0,1666.0,0.0
J14,8,M09,72,4,1127,1440,1899.0,1666.0,1738.0,0.0
J14,9,M06,53,4,1127,1440,1899.0,1746.0,1799.0,0.0
J15,0,M02,84,5,1142,1440,2116.0,1402.0,1486.0,0.0
J15,1,M01,2,5,1142,1440,2116.0,1586.0,1588.0,0.0
J15,2,M05,52,5,1142,1440,2116.0,1588.0,1640.0,0.0
J15,3,M03,95,5,1142,1440,2116.0,1640.0,1735.0,0.0
J15,4,M08,48,5,1142,1440,2116.0,1762.0,1810.0,0.0
J15,5,M09,72,5,1142,1440,2116.0,1810.0,1882.0,0.0
J15,6,M00,47,5,1142,1440,2116.0,1882.0,1929.0,0.0
J15,7,M06,65,5,1142,1440,2116.0,1934.0,1999.0,0.0
J15,8,M04,6,5,1142,1440,2116.0,2068.0,2074.0,0.0
J15,9,M07,25,5,1142,1440,2116.0,2074.0,2099.0,0.0
J16,0,M01,46,6,1254,1440,2071.0,1293.0,1339.0,0.0
J16,1,M00,37,6,1254,1440,2071.0,1499.0,1536.0,0.0
J16,2,M03,61,6,1254,1440,2071.0,1536.0,1597.0,0.0
J16,3,M02,13,6,1254,1440,2071.0,1701.0,1714.0,0.0
J16,4,M06,32,6,1254,1440,2071.0,1714.0,1746.0,0.0
J16,5,M05,21,6,1254,1440,2071.0,1746.0,1767.0,0.0
J16,6,M09,32,6,1254,1440,2071.0,1778.0,1810.0,0.0
J16,7,M08,89,6,1254,1440,2071.0,1862.0,1951.0,0.0
J16,8,M07,30,6,1254,1440,2071.0,1951.0,1981.0,0.0
J16,9,M04,55,6,1254,1440,2071.0,1981.0,2036.0,0.0
J17,0,M02,31,7,1285,1440,2343.0,1670.0,1701.0,0.0
J17,1,M00,86,7,1285,1440,2343.0,1701.0,1787.0,0.0
J17,2,M01,46,7,1285,1440,2343.0,1787.0,1833.0,0.0
J17,3,M05,74,7,1285,1440,2343.0,1833.0,1907.0,0.0
J17,4,M04,32,7,1285,1440,2343.0,2036.0,2068.0,0.0
J17,5,M06,88,7,1285,1440,2343.0,2068.0,2156.0,0.0
J17,6,M08,19,7,1285,1440,2343.0,2156.0,2175.0,0.0
J17,7,M09,48,7,1285,1440,2343.0,2175.0,2223.0,0.0
J17,8,M07,36,7,1285,1440,2343.0,2223.0,2259.0,0.0
J17,9,M03,79,7,1285,1440,2343.0,2259.0,2338.0,0.0
J18,0,M00,76,8,1397,1440,2569.0,1787.0,1863.0,0.0
J18,1,M01,69,8,1397,1440,2569.0,2048.0,2117.0,0.0
J18,2,M03,76,8,1397,1440,2569.0,2117.0,2193.0,0.0
J18,3,M05,51,8,1397,1440,2569.0,2193.0,2244.0,0.0
J18,4,M02,85,8,1397,1440,2569.0,2244.0,2329.0,0.0
J18,5,M09,11,8,1397,1440,2569.0,2329.0,2340.0,0.0
J18,6,M06,40,8,1397,1440,2569.0,2340.0,2380.0,0.0
J18,7,M07,89,8,1397,1440,2569.0,2380.0,2469.0,0.0
J18,8,M04,26,8,1397,1440,2569.0,2469.0,2495.0,0.0
J18,9,M08,74,8,1397,1440,2569.0,2495.0,2569.0,0.0
J19,0,M01,85,9,1398,1440,2458.0,1501.0,1586.0,0.0
J19,1,M00,13,9,1398,1440,2458.0,1869.0,1882.0,0.0
J19,2,M02,61,9,1398,1440,2458.0,1938.0,1999.0,0.0
J19,3,M06,7,9,1398,1440,2458.0,1999.0,2006.0,0.0
J19,4,M08,64,9,1398,1440,2458.0,2006.0,2070.0,0.0
J19,5,M09,76,9,1398,1440,2458.0,2070.0,2146.0,0.0
J19,6,M05,47,9,1398,1440,2458.0,2146.0,2193.0,0.0
J19,7,M03,52,9,1398,1440,2458.0,2193.0,2245.0,0.0
J19,8,M04,90,9,1398,1440,2458.0,2245.0,2335.0,0.0
J19,9,M07,45,9,1398,1440,2458.0,2335.0,2380.0,0.0
J2,0,M01,81,3,151,1440,1437.0,454.0,535.0,0.0
J2,1,M02,95,3,151,1440,1437.0,543.0,638.0,0.0
J2,2,M00,71,3,151,1440,1437.0,638.0,709.0,0.0
J2,3,M04,99,3,151,1440,1437.0,738.0,837.0,0.0
J2,4,M06,9,3,151,1440,1437.0,837.0,846.0,0.0
J2,5,M08,52,3,151,1440,1437.0,910.0,962.0,0.0
J2,6,M07,85,3,151,1440,1437.0,962.0,1047.0,0.0
J2,7,M03,98,3,151,1440,1437.0,1047.0,1145.0,0.0
J2,8,M09,22,3,151,1440,1437.0,1145.0,1167.0,0.0
J2,9,M05,43,3,151,1440,1437.0,1167.0,1210.0,0.0
J3,0,M02,14,4,226,1440,998.0,226.0,240.0,0.0
J3,1,M00,6,4,226,1440,998.0,240.0,246.0,0.0
J3,2,M01,22,4,226,1440,998.0,246.0,268.0,0.0
J3,3,M05,61,4,226,1440,998.0,268.0,329.0,0.0
J3,4,M03,26,4,226,1440,998.0,329.0,355.0,0.0
J3,5,M04,69,4,226,1440,998.0,355.0,424.0,0.0
J3,6,M08,21,4,226,1440,998.0,424.0,445.0,0.0
J3,7,M07,49,4,226,1440,998.0,445.0,494.0,0.0
J3,8,M09,72,4,226,1440,998.0,570.0,642.0,0.0
J3,9,M06,53,4,226,1440,998.0,682.0,735.0,0.0
J4,0,M01,46,6,386,1440,1203.0,386.0,432.0,0.0
J4,1,M00,37,6,386,1440,1203.0,432.0,469.0,0.0
J4,2,M03,61,6,386,1440,1203.0,469.0,530.0,0.0
J4,3,M02,13,6,386,1440,1203.0,530.0,543.0,0.0
J4,4,M06,32,6,386,1440,1203.0,543.0,575.0,0.0
J4,5,M05,21,6,386,1440,1203.0,575.0,596.0,0.0
J4,6,M09,32,6,386,1440,1203.0,642.0,674.0,0.0
J4,7,M08,89,6,386,1440,1203.0,674.0,763.0,0.0
J4,8,M07,30,6,386,1440,1203.0,763.0,793.0,0.0
J4,9,M04,55,6,386,1440,1203.0,837.0,892.0,0.0
J5,0,M01,91,2,464,1440,1579.0,661.0,752.0,0.0
J5,1,M00,85,2,464,1440,1579.0,752.0,837.0,0.0
J5,2,M03,39,2,464,1440,1579.0,837.0,876.0,0.0
J5,3,M02,74,2,464,1440,1579.0,876.0,950.0,0.0
J5,4,M08,90,2,464,1440,1579.0,962.0,1052.0,0.0
J5,5,M05,10,2,464,1440,1579.0,1210.0,1220.0,0.0
J5,6,M07,12,2,464,1440,1579.0,1220.0,1232.0,0.0
J5,7,M06,89,2,464,1440,1579.0,1245.0,1334.0,0.0
J5,8,M09,45,2,464,1440,1579.0,1334.0,1379.0,0.0
J5,9,M04,33,2,464,1440,1579.0,1379.0,1412.0,0.0
J6,0,M00,43,1,480,1440,1481.0,709.0,752.0,0.0
J6,1,M02,90,1,480,1440,1481.0,752.0,842.0,0.0
J6,2,M04,75,1,480,1440,1481.0,892.0,967.0,0.0
J6,3,M09,11,1,480,1440,1481.0,967.0,978.0,0.0
J6,4,M03,69,1,480,1440,1481.0,978.0,1047.0,0.0
J6,5,M01,28,1,480,1440,1481.0,1083.0,1111.0,0.0
J6,6,M06,46,1,480,1440,1481.0,1111.0,1157.0,0.0
J6,7,M05,46,1,480,1440,1481.0,1220.0,1266.0,0.0
J6,8,M07,72,1,480,1440,1481.0,1266.0,1338.0,0.0
J6,9,M08,30,1,480,1440,1481.0,1338.0,1368.0,0.0
J7,0,M00,29,0,506,1440,1281.0,506.0,535.0,0.0
J7,1,M01,78,0,506,1440,1281.0,535.0,613.0,0.0
J7,2,M02,9,0,506,1440,1281.0,638.0,647.0,0.0
J7,3,M03,36,0,506,1440,1281.0,647.0,683.0,0.0
J7,4,M04,49,0,506,1440,1281.0,688.0,737.0,0.0
J7,5,M05,11,0,506,1440,1281.0,737.0,748.0,0.0
J7,6,M06,62,0,506,1440,1281.0,748.0,810.0,0.0
J7,7,M07,56,0,506,1440,1281.0,810.0,866.0,0.0
J7,8,M08,44,0,506,1440,1281.0,866.0,910.0,0.0
J7,9,M09,21,0,506,1440,1281.0,910.0,931.0,0.0
J8,0,M00,76,8,526,1440,1698.0,988.0,1064.0,0.0
J8,1,M01,69,8,526,1440,1698.0,1111.0,1180.0,0.0
J8,2,M03,76,8,526,1440,1698.0,1181.0,1257.0,0.0
J8,3,M05,51,8,526,1440,1698.0,1266.0,1317.0,0.0
J8,4,M02,85,8,526,1440,1698.0,1317.0,1402.0,0.0
J8,5,M09,11,8,526,1440,1698.0,1402.0,1413.0,0.0
J8,6,M06,40,8,526,1440,1698.0,1413.0,1453.0,0.0
J8,7,M07,89,8,526,1440,1698.0,1453.0,1542.0,0.0
J8,8,M04,26,8,526,1440,1698.0,1542.0,1568.0,0.0
J8,9,M08,74,8,526,1440,1698.0,1568.0,1642.0,0.0
J9,0,M02,31,7,535,1440,1593.0,842.0,873.0,0.0
J9,1,M00,86,7,535,1440,1593.0,873.0,959.0,0.0
J9,2,M01,46,7,535,1440,1593.0,959.0,1005.0,0.0
J9,3,M05,74,7,535,1440,1593.0,1005.0,1079.0,0.0
J9,4,M04,32,7,535,1440,1593.0,1125.0,1157.0,0.0
J9,5,M06,88,7,535,1440,1593.0,1157.0,1245.0,0.0
J9,6,M08,19,7,535,1440,1593.0,1245.0,1264.0,0.0
J9,7,M09,48,7,535,1440,1593.0,1264.0,1312.0,0.0
J9,8,M07,36,7,535,1440,1593.0,1338.0,1374.0,0.0
J9,9,M03,79,7,535,1440,1593.0,1418.0,1497.0,0.0
