Job,Routing_ID,Arrival,Ready Time,End,Processing Time,Deadline
94,2,6301,7200,9013.0,568,9363
95,8,6316,7200,9050.0,597,9096
96,0,6401,7200,9153.0,395,9536
97,7,6475,7200,9189.0,539,9963
98,1,6499,7200,9080.0,510,9598
99,3,6617,7200,9175.0,655,8140
100,6,6662,7200,9233.0,416,9014
101,0,6881,7200,9274.0,395,8928
102,5,6891,7200,9550.0,496,9344
103,8,6944,7200,9543.0,597,10029
104,3,7246,8640,10453.0,655,11531
105,1,7285,8640,10458.0,510,10669
106,7,7322,8640,10387.0,539,12806
107,2,7335,8640,9981.0,568,10336
108,9,7527,8640,10619.0,540,11106
109,4,7555,8640,10525.0,393,10454
110,1,7556,8640,10648.0,510,10541
111,0,7566,8640,10752.0,395,10366
112,9,7574,8640,10928.0,540,10090
113,4,7735,8640,10666.0,393,11012
114,5,7814,8640,10502.0,496,10427
115,8,7834,8640,10349.0,597,11772
116,6,7866,8640,10426.0,416,9932
117,3,7880,8640,10496.0,655,9830
118,2,7992,8640,10922.0,568,9864
119,7,8026,8640,10932.0,539,10703
120,0,8076,8640,10861.0,395,10775
121,5,8198,8640,10712.0,496,10851
122,4,8294,8640,11008.0,393,10350
123,8,8325,8640,11174.0,597,10810
124,3,8445,8640,10645.0,655,10325
125,7,8546,8640,11329.0,539,11053
126,6,8616,8640,10889.0,416,10437
127,1,8648,10080,11910.0,510,12444
128,2,8681,10080,11259.0,568,11740
129,9,8695,10080,11873.0,540,12456
130,1,8705,10080,12191.0,510,12982
131,8,8745,10080,12121.0,597,11658
132,6,8852,10080,11413.0,416,12448
133,5,8853,10080,11473.0,496,11987
134,0,8894,10080,12333.0,395,11198
135,3,9048,10080,12022.0,655,11684
136,2,9102,10080,12341.0,568,11449
137,4,9156,10080,12503.0,393,12753
138,9,9176,10080,12472.0,540,11731
139,7,9191,10080,12286.0,539,12207
140,2,9212,10080,12519.0,568,11565
141,9,9247,10080,12517.0,540,11498
142,3,9249,10080,12310.0,655,12257
143,8,9325,10080,13044.0,597,11059
144,0,9341,10080,12354.0,395,11263
145,5,9534,10080,12682.0,496,12350
146,4,9563,10080,12660.0,393,12696
147,6,9623,10080,12486.0,416,11463
148,1,9642,10080,12221.0,510,12467
149,7,9692,10080,12886.0,539,11754
150,0,9726,10080,12492.0,395,11757
151,5,9727,10080,12819.0,496,11785
152,2,10034,10080,12651.0,568,12189
153,9,10154,11520,13626.0,540,13617
154,3,10164,11520,13302.0,655,12650
155,1,10291,11520,13093.0,510,12534
156,7,10418,11520,13414.0,539,12721
157,8,10554,11520,13456.0,597,14015
158,4,10708,11520,13506.0,393,15228
159,6,10718,11520,13437.0,416,14624
160,7,10951,11520,13532.0,539,13198
161,0,10985,11520,13521.0,395,12985
162,5,11023,11520,13476.0,496,13393
163,8,11099,11520,14027.0,597,13111
164,2,11170,11520,13470.0,568,14437
165,3,11311,11520,13424.0,655,13616
166,9,11365,11520,13790.0,540,12384
167,6,11371,11520,13711.0,416,12933
168,4,11408,11520,13650.0,393,13540
169,1,11412,11520,13311.0,510,12719
170,0,11484,11520,13646.0,395,13702
171,4,11611,12960,14771.0,393,15563
172,8,11667,12960,14691.0,597,15102
173,5,11718,12960,14857.0,496,14430
174,2,11788,12960,14119.0,568,14950
175,7,11958,12960,14911.0,539,14326
176,3,11971,12960,14466.0,655,16309
177,6,12020,12960,14710.0,416,14630
178,9,12137,12960,14796.0,540,14100
179,1,12198,12960,14467.0,510,14420
180,0,12202,12960,14856.0,395,14472
181,2,12245,12960,14796.0,568,14195
182,5,12257,12960,15082.0,496,14918
183,3,12304,12960,14688.0,655,14172
184,9,12315,12960,15057.0,540,14788
185,6,12428,12960,15031.0,416,14312
186,4,12479,12960,14898.0,393,15153
187,1,12609,12960,14721.0,510,14734
188,8,12914,12960,15046.0,597,14357
189,7,12931,12960,15101.0,539,16418
190,6,12985,14400,15415.0,416,16169
191,8,13016,14400,16065.0,597,16277
192,3,13058,14400,16052.0,655,16332
193,5,13072,14400,16590.0,496,15951
194,7,13329,14400,16354.0,539,16404
195,4,13592,14400,16490.0,393,17542
196,9,13662,14400,15663.0,540,16376
197,2,13714,14400,15768.0,568,16420
198,1,13807,14400,15991.0,510,16456
199,0,13835,14400,16435.0,395,15700
200,5,13840,14400,16615.0,496,15817
201,8,13892,14400,16286.0,597,16453
202,6,13926,14400,15872.0,416,15381
203,0,14015,14400,16487.0,395,17482
204,2,14117,14400,16485.0,568,16931
205,9,14149,14400,16565.0,540,16126
206,3,14177,14400,16106.0,655,15896
207,7,14245,14400,16494.0,539,16270
208,4,14338,14400,16612.0,393,16117
209,1,14358,14400,16135.0,510,15816
210,4,14367,14400,16684.0,393,17063
211,3,14389,14400,16340.0,655,16473
212,7,14739,15840,17492.0,539,18548
213,6,14747,15840,16887.0,416,17244
214,9,14813,15840,17491.0,540,17040
215,1,15011,15840,17219.0,510,17702
216,2,15077,15840,17562.0,568,17312
217,0,15113,15840,16942.0,395,17695
218,8,15178,15840,17603.0,597,18042
219,5,15330,15840,17081.0,496,17978
220,3,15384,15840,17426.0,655,17675
221,0,15445,15840,17548.0,395,17866
222,9,15461,15840,17741.0,540,17349
223,8,15513,15840,17766.0,597,17294
224,6,15583,15840,17855.0,416,17032
225,4,15645,15840,17702.0,393,17849
226,7,15665,15840,17571.0,539,17321
227,5,15685,15840,17516.0,496,17949
228,2,15715,15840,17800.0,568,17538
229,1,15823,15840,17283.0,510,17244
230,5,15932,17280,18830.0,496,19783
231,0,16019,17280,19218.0,395,18575
232,6,16044,17280,18445.0,416,19003
233,2,16083,17280,18510.0,568,19055
234,3,16122,17280,19006.0,655,18785
235,8,16198,17280,18909.0,597,20190
236,9,16318,17280,19261.0,540,19448
237,7,16478,17280,19246.0,539,18928
238,1,16585,17280,18958.0,510,18746
239,4,16626,17280,19343.0,393,19369
240,4,16650,17280,19507.0,393,19469
241,3,16689,17280,19057.0,655,19392
242,5,16765,17280,19472.0,496,19019
243,7,16774,17280,19555.0,539,19397
244,6,16935,17280,18703.0,416,19509
245,0,16980,17280,19382.0,395,18966
246,2,17019,17280,19368.0,568,18677
247,1,17162,17280,19049.0,510,18435
248,8,17192,17280,19123.0,597,18979
249,9,17201,17280,19447.0,540,19576
250,8,17231,17280,19706.0,597,18510
251,1,17253,17280,19153.0,510,18615
252,2,17356,18720,19758.0,568,20867
253,3,17446,18720,20279.0,655,21855
254,4,17472,18720,20441.0,393,21017
255,5,17526,18720,20106.0,496,20956
256,0,17541,18720,20604.0,395,20772
257,9,17599,18720,20544.0,540,20639
258,6,17686,18720,20191.0,416,20728
259,7,17709,18720,20372.0,539,21544
260,9,17786,18720,20681.0,540,21448
261,8,17821,18720,20450.0,597,20687
262,4,17861,18720,20648.0,393,20777
263,3,18069,18720,20444.0,655,20443
264,0,18269,18720,20665.0,395,20126
265,2,18363,18720,20622.0,568,20424
266,1,18407,18720,20287.0,510,19894
267,6,18426,18720,20766.0,416,19532
268,7,18545,18720,20503.0,539,21131
269,5,18617,18720,20736.0,496,21054
270,7,18698,18720,20763.0,539,20954
271,9,18722,20160,21221.0,540,22332
272,8,18892,20160,21555.0,597,22213
273,2,18978,20160,21345.0,568,22164
274,0,18981,20160,21656.0,395,22382
275,6,19131,20160,21231.0,416,23213
276,1,19443,20160,21323.0,510,21474
277,3,19665,20160,21721.0,655,22425
278,5,19703,20160,21419.0,496,22421
279,4,19711,20160,21985.0,393,22431
280,8,19776,20160,21841.0,597,22292
281,7,19871,20160,21890.0,539,22283
282,0,19933,20160,21953.0,395,21818
283,9,19969,20160,21580.0,540,21701
284,2,20034,20160,21741.0,568,21514
285,6,20082,20160,21639.0,416,21967
286,5,20124,20160,21885.0,496,21705
287,4,20191,21600,23473.0,393,25019
288,1,20197,21600,23157.0,510,24015
289,3,20257,21600,23160.0,655,22838
290,0,20292,21600,23711.0,395,23419
291,3,20336,21600,23224.0,655,22970
292,9,20347,21600,23547.0,540,23372
293,6,20504,21600,23036.0,416,22910
294,8,20536,21600,23344.0,597,24658
295,1,20707,21600,23229.0,510,22924
296,4,20751,21600,23647.0,393,24462
297,5,20793,21600,22873.0,496,23669
298,7,20846,21600,23637.0,539,23939
299,2,20939,21600,23303.0,568,23150
300,5,20968,21600,23673.0,496,23807
301,0,20983,21600,23972.0,395,23257
302,1,21017,21600,23435.0,510,25478
303,3,21087,21600,23555.0,655,23703
304,9,21268,21600,23648.0,540,22866
305,7,21426,21600,24105.0,539,23803
306,2,21496,21600,23737.0,568,23795
307,8,21606,23040,24061.0,597,24933
308,6,21646,23040,23951.0,416,24774
309,4,21722,23040,24499.0,393,25804
310,1,21975,23040,24220.0,510,25081
311,2,22314,23040,23984.0,568,24620
312,0,22397,23040,24467.0,395,26501
313,9,22477,23040,24504.0,540,24907
314,3,22575,23040,24320.0,655,25888
315,6,22631,23040,24348.0,416,24784
316,4,22701,23040,24592.0,393,24898
317,5,22811,23040,24529.0,496,25023
318,7,22877,23040,24489.0,539,24563
319,8,23031,23040,24361.0,597,25000
320,8,23076,24480,25889.0,597,25939
321,3,23140,24480,25979.0,655,26510
322,0,23225,24480,25977.0,395,26457
323,9,23411,24480,25848.0,540,27172
324,5,23516,24480,26170.0,496,25538
325,1,23609,24480,26013.0,510,26341
326,6,23620,24480,25357.0,416,25834
327,4,23722,24480,26293.0,393,26111
328,7,23792,24480,26175.0,539,26583
329,2,23937,24480,25789.0,568,27447
330,6,23982,24480,25585.0,416,26235
331,5,23982,24480,26381.0,496,26556
332,2,24012,24480,26378.0,568,26048
333,4,24015,24480,26386.0,393,27317
334,0,24103,24480,26366.0,395,25925
335,3,24115,24480,26156.0,655,26141
336,8,24214,24480,26622.0,597,27079
337,1,24296,24480,26094.0,510,25841
338,9,24386,24480,26356.0,540,26848
339,7,24408,24480,26390.0,539,25983
340,6,24486,25920,26796.0,416,27299
341,5,24523,25920,27446.0,496,29763
342,3,24578,25920,27213.0,655,27744
343,1,24625,25920,27209.0,510,28092
344,2,25123,25920,27349.0,568,27811
345,9,25148,25920,27107.0,540,28856
346,8,25259,25920,27390.0,597,28067
347,7,25350,25920,27432.0,539,28045
348,0,25412,25920,27508.0,395,28461
349,4,25413,25920,27562.0,393,28690
350,7,25496,25920,27711.0,539,27716
351,0,25509,25920,27661.0,395,27296
352,4,25793,25920,27633.0,393,29233
353,2,25800,25920,27658.0,568,28258
354,9,25826,25920,27540.0,540,27681
355,6,25932,27360,28449.0,416,28825
356,8,26029,27360,28737.0,597,29151
357,5,26057,27360,28624.0,496,29136
358,1,26151,27360,28959.0,510,28841
359,3,26168,27360,29127.0,655,28614
360,4,26255,27360,29443.0,393,29137
361,1,26302,27360,29078.0,510,29186
362,3,26347,27360,29170.0,655,29548
363,2,26406,27360,29152.0,568,28515
364,6,26437,27360,29207.0,416,28706
365,9,26448,27360,29035.0,540,30247
366,7,26590,27360,29236.0,539,31803
367,5,26713,27360,29182.0,496,28950
368,8,26714,27360,28910.0,597,28507
369,0,26864,27360,29274.0,395,29474
370,7,27055,27360,29315.0,539,29409
371,0,27157,27360,29318.0,395,28463
372,8,27219,27360,29608.0,597,30494
373,5,27231,27360,29525.0,496,29573
374,4,27267,27360,29515.0,393,29348
375,6,27275,27360,29427.0,416,28436
376,9,27304,27360,29500.0,540,29179
377,1,27514,28800,30034.0,510,32595
378,3,27612,28800,30371.0,655,31178
379,2,27904,28800,30288.0,568,29842
380,8,27957,28800,30315.0,597,30206
381,2,27989,28800,30382.0,568,29918
382,9,27996,28800,30376.0,540,31798
383,4,28059,28800,30475.0,393,30102
384,0,28107,28800,30522.0,395,30133
385,7,28377,28800,30393.0,539,30161
386,1,28398,28800,30241.0,510,30511
387,5,28402,28800,30401.0,496,30973
388,3,28550,28800,30414.0,655,30393
389,6,28566,28800,30349.0,416,30528
390,6,28629,28800,30631.0,416,30772
391,5,28631,28800,30601.0,496,31630
392,8,28661,28800,30646.0,597,30502
393,3,28813,30240,31982.0,655,31825
394,9,28847,30240,31288.0,540,32155
395,0,28941,30240,32458.0,395,32346
396,7,28991,30240,31962.0,539,32232
397,2,29055,30240,31627.0,568,32821
398,4,29164,30240,32255.0,393,32133
399,1,29238,30240,31996.0,510,32725
400,0,29249,30240,32522.0,395,32718
401,8,29391,30240,32322.0,597,32503
402,9,29465,30240,31639.0,540,32624
403,2,29595,30240,31978.0,568,31738
404,6,29624,30240,31807.0,416,32171
405,4,29651,30240,32395.0,393,33112
406,5,29686,30240,31771.0,496,31597
407,7,29718,30240,32365.0,539,32664
408,1,29719,30240,32205.0,510,31666
409,3,29866,30240,32036.0,655,32216
410,0,29913,30240,32655.0,395,32330
411,7,29923,30240,32591.0,539,33666
412,9,29943,30240,32558.0,540,33241
413,4,29960,30240,32490.0,393,32092
414,5,30000,30240,32583.0,496,32704
415,6,30324,31680,32675.0,416,33796
416,3,30463,31680,33522.0,655,33281
417,8,30537,31680,33465.0,597,33099
418,2,30574,31680,32913.0,568,35488
419,1,30580,31680,33495.0,510,33422
420,1,30589,31680,33525.0,510,34675
421,2,30654,31680,33103.0,568,33172
422,7,30753,31680,34011.0,539,33418
423,3,30790,31680,33624.0,655,33469
424,0,30877,31680,33613.0,395,33598
425,5,30927,31680,33901.0,496,34042
426,9,30941,31680,33876.0,540,33499
427,4,30956,31680,33872.0,393,34261
428,8,31143,31680,34289.0,597,32978
429,6,31173,31680,33220.0,416,33503
430,8,31179,31680,34430.0,597,32754
431,6,31199,31680,33726.0,416,33090
432,3,31208,31680,34012.0,655,35106
433,4,31235,31680,34055.0,393,33691
434,9,31299,31680,33958.0,540,33739
435,2,31324,31680,34189.0,568,33548
436,0,31426,31680,33847.0,395,33494
437,1,31475,31680,33671.0,510,33139
438,5,31659,31680,34018.0,496,33576
439,7,31717,33120,34660.0,539,34410
440,4,31825,33120,35007.0,393,35467
441,7,31882,33120,34910.0,539,35770
442,0,32046,33120,35052.0,395,34394
443,3,32084,33120,34892.0,655,34814
444,5,32107,33120,34330.0,496,35310
445,9,32184,33120,34876.0,540,35958
446,6,32243,33120,34986.0,416,35248
447,1,32255,33120,34642.0,510,36153
448,2,32314,33120,35032.0,568,35927
449,8,32328,33120,34934.0,597,35643
450,4,32566,33120,35177.0,393,34629
451,6,32724,33120,35237.0,416,34221
452,7,32815,33120,35151.0,539,34491
453,5,32897,33120,34901.0,496,35815
454,1,32999,33120,35174.0,510,35297
455,0,33056,33120,35295.0,395,34720
456,3,33193,34560,36278.0,655,36199
457,2,33233,34560,35780.0,568,37786
458,9,33254,34560,35919.0,540,36413
459,8,33314,34560,36163.0,597,36285
460,7,33375,34560,36543.0,539,36380
461,3,33597,34560,36414.0,655,36063
462,4,33609,34560,36834.0,393,36745
463,8,33655,34560,36428.0,597,39450
464,2,33681,34560,35984.0,568,37840
465,0,33770,34560,36633.0,395,36289
466,1,33838,34560,36241.0,510,36047
467,6,33844,34560,36165.0,416,35823
468,9,33867,34560,36630.0,540,35857
469,5,33928,34560,36353.0,496,37131
470,1,34033,34560,36568.0,510,36688
471,9,34063,34560,36803.0,540,38227
472,2,34107,34560,36780.0,568,37100
473,7,34109,34560,36622.0,539,36480
474,4,34135,34560,36906.0,393,35428
475,0,34250,34560,36698.0,395,37286
476,8,34295,34560,37487.0,597,36068
477,5,34447,34560,36941.0,496,35964
478,6,34505,34560,36910.0,416,35799
479,3,34563,36000,37808.0,655,38281
480,1,34573,36000,37925.0,510,38357
481,7,34687,36000,38218.0,539,38031
482,4,34700,36000,38263.0,393,38014
483,2,34704,36000,37272.0,568,38403
484,6,34705,36000,37498.0,416,38287
485,8,34771,36000,38088.0,597,37541
486,3,34788,36000,38069.0,655,37728
487,9,34807,36000,38214.0,540,37675
488,0,34817,36000,38242.0,395,38201
489,5,34852,36000,37750.0,496,38531
490,7,34880,36000,38818.0,539,38550
491,2,34974,36000,38268.0,568,38111
492,0,35129,36000,38335.0,395,37170
493,8,35337,36000,38594.0,597,37715
494,5,35424,36000,38675.0,496,37941
495,1,35438,36000,38118.0,510,38122
496,4,35451,36000,38369.0,393,37306
497,3,35526,36000,38181.0,655,37502
498,9,35565,36000,38575.0,540,38022
499,6,35613,36000,38488.0,416,38195
500,4,35634,36000,38668.0,393,39058
501,0,35642,36000,38391.0,395,38188
502,5,35686,36000,38789.0,496,38022
503,9,35973,36000,38620.0,540,38727
504,3,36026,37440,39368.0,655,40152
505,1,36148,37440,38930.0,510,38539
506,6,36268,37440,38843.0,416,39355
507,8,36315,37440,39091.0,597,39626
508,7,36336,37440,39354.0,539,39129
509,2,36407,37440,39343.0,568,39672
510,6,36450,37440,39398.0,416,39722
511,7,36500,37440,39433.0,539,39350
512,2,36563,37440,39929.0,568,38938
513,1,36645,37440,39262.0,510,38856
514,4,36763,37440,39730.0,393,40129
515,0,36916,37440,39474.0,395,39209
516,8,36926,37440,39409.0,597,39205
517,5,36939,37440,39255.0,496,39463
518,3,36956,37440,39742.0,655,40234
519,9,36990,37440,39471.0,540,39046
520,0,37000,37440,39742.0,395,39060
521,7,37112,37440,39916.0,539,39505
522,3,37172,37440,39826.0,655,38964
523,1,37339,37440,40226.0,510,39075
524,6,37387,37440,40160.0,416,38711
525,8,37431,37440,40132.0,597,39882
526,4,37449,38880,41405.0,393,41330
527,9,37487,38880,40728.0,540,40305
528,5,37513,38880,40997.0,496,40772
529,2,37536,38880,40404.0,568,40263
530,6,37633,38880,40459.0,416,40717
531,2,37636,38880,41387.0,568,40646
532,9,37664,38880,41269.0,540,40961
533,8,37692,38880,40973.0,597,40395
534,0,37749,38880,41451.0,395,41265
535,5,37812,38880,41508.0,496,41709
536,4,37829,38880,41601.0,393,42241
537,1,37862,38880,41111.0,510,40602
538,3,37899,38880,41084.0,655,39922
539,7,37969,38880,41553.0,539,41049
540,6,38031,38880,41279.0,416,40473
541,5,38096,38880,41582.0,496,40810
542,4,38242,38880,41781.0,393,40482
543,1,38262,38880,41162.0,510,41001
544,9,38267,38880,41716.0,540,40006
545,2,38351,38880,41702.0,568,40559
546,7,38463,38880,41953.0,539,41016
547,8,38472,38880,42000.0,597,40222
548,3,38707,38880,41515.0,655,41349
549,0,38722,38880,41690.0,395,41585
550,3,38759,38880,41619.0,655,40366
551,6,38779,38880,41547.0,416,41013
552,7,38865,38880,42127.0,539,41244
553,8,38875,38880,42122.0,597,40065
554,4,38949,40320,42248.0,393,43917
555,2,38952,40320,42228.0,568,41863
556,0,38977,40320,42504.0,395,42945
557,1,39003,40320,42171.0,510,42177
558,5,39109,40320,42766.0,496,41734
559,9,39226,40320,42582.0,540,42089
560,4,39239,40320,42577.0,393,43137
561,5,39501,40320,42920.0,496,42078
562,3,39714,40320,42569.0,655,42633
563,1,39814,40320,42270.0,510,41499
564,6,39842,40320,42120.0,416,41918
565,2,39869,40320,42570.0,568,42498
566,8,39921,40320,42344.0,597,41363
567,9,39984,40320,42705.0,540,42395
568,0,40025,40320,42547.0,395,41863
569,7,40234,40320,42539.0,539,42991
570,4,40318,40320,42767.0,393,42304
571,0,40349,41760,43505.0,395,43569
572,5,40556,41760,43548.0,496,43848
573,9,40574,41760,43457.0,540,43538
574,1,40686,41760,43391.0,510,43733
575,2,40857,41760,43114.0,568,44114
576,8,40871,41760,43901.0,597,43499
577,7,40959,41760,43796.0,539,44093
578,6,40963,41760,43081.0,416,43234
579,3,40970,41760,43667.0,655,42770
580,7,41030,41760,43970.0,539,44136
581,4,41110,41760,44095.0,393,44754
582,0,41330,41760,43758.0,395,43953
583,8,41394,41760,44039.0,597,43616
584,3,41407,41760,43763.0,655,44145
585,9,41440,41760,43774.0,540,42973
586,5,41489,41760,43937.0,496,44621
587,6,41534,41760,43648.0,416,43706
588,1,41553,41760,43440.0,510,43875
589,2,41742,41760,43681.0,568,43575
590,2,41744,41760,44170.0,568,44513
591,1,41753,41760,44181.0,510,43843
592,6,41781,43200,44355.0,416,45352
593,5,41799,43200,44540.0,496,45571
594,0,41884,43200,44899.0,395,45860
595,9,42042,43200,44932.0,540,46310
596,8,42338,43200,44751.0,597,44881
597,7,42342,43200,44678.0,539,44490
598,3,42398,43200,44675.0,655,44469
599,4,42589,43200,44888.0,393,44728
600,7,42624,43200,44966.0,539,45305
601,1,42663,43200,44549.0,510,45635
602,4,42694,43200,44941.0,393,44863
603,0,42710,43200,44965.0,395,44919
604,2,42769,43200,44977.0,568,44455
605,5,43061,43200,44957.0,496,44733
606,8,43061,43200,45146.0,597,46151
607,9,43162,43200,45091.0,540,45189
608,3,43234,44640,46216.0,655,46912
609,6,43280,44640,45624.0,416,45994
610,4,43375,44640,46712.0,393,46414
611,0,43398,44640,46168.0,395,46518
612,2,43404,44640,45805.0,568,46308
613,6,43428,44640,46152.0,416,46264
614,8,43518,44640,46288.0,597,47577
615,9,43603,44640,46632.0,540,47602
616,1,43716,44640,46318.0,510,46901
617,7,43726,44640,46666.0,539,47035
618,5,43850,44640,46357.0,496,48810
619,3,43878,44640,46270.0,655,46473
620,6,43938,44640,46207.0,416,45844
621,8,44102,44640,46819.0,597,46478
622,0,44247,44640,46587.0,395,46065
623,2,44258,44640,46474.0,568,46065
624,1,44342,44640,46369.0,510,46661
625,5,44345,44640,46941.0,496,46782
626,3,44532,44640,46444.0,655,46011
627,9,44628,44640,46726.0,540,46423
628,4,44636,44640,46830.0,393,46457
629,7,44738,46080,47439.0,539,48661
630,5,44890,46080,47380.0,496,48981
631,7,44951,46080,47789.0,539,47765
632,6,45013,46080,46811.0,416,46862
633,1,45039,46080,47482.0,510,47804
634,2,45127,46080,47109.0,568,47090
635,8,45268,46080,47300.0,597,47266
636,3,45291,46080,47504.0,655,47695
637,9,45382,46080,47355.0,540,47561
638,4,45471,46080,47711.0,393,47631
639,0,45562,46080,47676.0,395,47467
640,2,45674,46080,47754.0,568,47804
641,6,45720,46080,47929.0,416,47837
642,9,45781,46080,47844.0,540,48170
643,0,45910,46080,47814.0,395,48613
644,4,45923,46080,47846.0,393,49154
645,8,45960,46080,47899.0,597,47794
646,7,46178,47520,49217.0,539,49222
647,5,46383,47520,49053.0,496,49411
648,1,46406,47520,48921.0,510,48590
649,3,46669,47520,48939.0,655,49762
650,5,46693,47520,49504.0,496,49842
651,7,46783,47520,49427.0,539,49266
652,8,46828,47520,49483.0,597,49217
653,6,46857,47520,48734.0,416,49506
654,2,46880,47520,49121.0,568,49224
655,0,46957,47520,49644.0,395,50502
656,9,47040,47520,49393.0,540,49327
657,1,47090,47520,49024.0,510,49523
658,3,47105,47520,49086.0,655,49404
659,4,47110,47520,49365.0,393,49491
660,7,47156,47520,49636.0,539,49956
661,2,47184,47520,49442.0,568,50303
662,3,47302,47520,49422.0,655,49694
663,1,47345,47520,49054.0,510,49394
664,6,47459,47520,49534.0,416,49310
665,5,47582,48960,50558.0,496,51505
666,0,47676,48960,50364.0,395,50903
667,4,47831,48960,50857.0,393,51327
668,8,47905,48960,50389.0,597,50628
669,9,47908,48960,49903.0,540,50314
670,4,47932,48960,50990.0,393,50755
671,0,47996,48960,50825.0,395,51643
672,7,47998,48960,50771.0,539,51788
673,5,48101,48960,50724.0,496,51812
674,6,48234,48960,50145.0,416,49882
675,9,48375,48960,50533.0,540,51957
676,1,48399,48960,50518.0,510,50870
677,8,48551,48960,51099.0,597,50608
678,2,48575,48960,50233.0,568,51096
679,3,48652,48960,50659.0,655,52262
680,3,48668,48960,50775.0,655,50101
681,8,48736,48960,51287.0,597,50630
682,7,48745,48960,50895.0,539,50795
683,0,48752,48960,50857.0,395,51173
684,6,48791,48960,50200.0,416,50449
685,9,48888,48960,50910.0,540,50560
686,5,48960,50400,51442.0,496,53117
687,1,48971,50400,51899.0,510,51600
688,4,49237,50400,52091.0,393,51633
689,2,49356,50400,52098.0,568,51700
690,8,49446,50400,52068.0,597,52209
691,9,49452,50400,52268.0,540,51510
692,5,49500,50400,52293.0,496,52971
693,1,49542,50400,51950.0,510,51673
694,3,49550,50400,51916.0,655,53364
695,7,49618,50400,51958.0,539,53123
696,0,49681,50400,52246.0,395,52036
