Job,Routing_ID,Operation,Machine,Processing Time
J25-0015,5,7,M06,65
J25-0015,5,8,M04,6
J25-0015,5,9,M07,25
J25-0016,6,0,M01,46
J25-0016,6,1,M00,37
J25-0016,6,2,M03,61
J25-0016,6,3,M02,13
J25-0016,6,4,M06,32
J25-0016,6,5,M05,21
J25-0016,6,6,M09,32
J25-0016,6,7,M08,89
J25-0016,6,8,M07,30
J25-0016,6,9,M04,55
J25-0017,7,0,M02,31
J25-0017,7,1,M00,86
J25-0017,7,2,M01,46
J25-0017,7,3,M05,74
J25-0017,7,4,M04,32
J25-0017,7,5,M06,88
J25-0017,7,6,M08,19
J25-0017,7,7,M09,48
J25-0017,7,8,M07,36
J25-0017,7,9,M03,79
J25-0018,8,0,M00,76
J25-0018,8,1,M01,69
J25-0018,8,2,M03,76
J25-0018,8,3,M05,51
J25-0018,8,4,M02,85
J25-0018,8,5,M09,11
J25-0018,8,6,M06,40
J25-0018,8,7,M07,89
J25-0018,8,8,M04,26
J25-0018,8,9,M08,74
J25-0019,9,0,M01,85
J25-0019,9,1,M00,13
J25-0019,9,2,M02,61
J25-0019,9,3,M06,7
J25-0019,9,4,M08,64
J25-0019,9,5,M09,76
J25-0019,9,6,M05,47
J25-0019,9,7,M03,52
J25-0019,9,8,M04,90
J25-0019,9,9,M07,45
J25-0020,1,0,M00,43
J25-0020,1,1,M02,90
J25-0020,1,2,M04,75
J25-0020,1,3,M09,11
J25-0020,1,4,M03,69
J25-0020,1,5,M01,28
J25-0020,1,6,M06,46
J25-0020,1,7,M05,46
J25-0020,1,8,M07,72
J25-0020,1,9,M08,30
J25-0021,5,0,M02,84
J25-0021,5,1,M01,2
J25-0021,5,2,M05,52
J25-0021,5,3,M03,95
J25-0021,5,4,M08,48
J25-0021,5,5,M09,72
J25-0021,5,6,M00,47
J25-0021,5,7,M06,65
J25-0021,5,8,M04,6
J25-0021,5,9,M07,25
J25-0022,9,0,M01,85
J25-0022,9,1,M00,13
J25-0022,9,2,M02,61
J25-0022,9,3,M06,7
J25-0022,9,4,M08,64
J25-0022,9,5,M09,76
J25-0022,9,6,M05,47
J25-0022,9,7,M03,52
J25-0022,9,8,M04,90
J25-0022,9,9,M07,45
J25-0023,8,0,M00,76
J25-0023,8,1,M01,69
J25-0023,8,2,M03,76
J25-0023,8,3,M05,51
J25-0023,8,4,M02,85
J25-0023,8,5,M09,11
J25-0023,8,6,M06,40
J25-0023,8,7,M07,89
J25-0023,8,8,M04,26
J25-0023,8,9,M08,74
J25-0024,3,0,M01,81
J25-0024,3,1,M02,95
J25-0024,3,2,M00,71
J25-0024,3,3,M04,99
J25-0024,3,4,M06,9
J25-0024,3,5,M08,52
J25-0024,3,6,M07,85
J25-0024,3,7,M03,98
J25-0024,3,8,M09,22
J25-0024,3,9,M05,43
J25-0025,2,0,M01,91
J25-0025,2,1,M00,85
J25-0025,2,2,M03,39
J25-0025,2,3,M02,74
J25-0025,2,4,M08,90
J25-0025,2,5,M05,10
J25-0025,2,6,M07,12
J25-0025,2,7,M06,89
J25-0025,2,8,M09,45
J25-0025,2,9,M04,33
J25-0026,6,0,M01,46
J25-0026,6,1,M00,37
J25-0026,6,2,M03,61
J25-0026,6,3,M02,13
J25-0026,6,4,M06,32
J25-0026,6,5,M05,21
J25-0026,6,6,M09,32
J25-0026,6,7,M08,89
J25-0026,6,8,M07,30
J25-0026,6,9,M04,55
J25-0027,7,0,M02,31
J25-0027,7,1,M00,86
J25-0027,7,2,M01,46
J25-0027,7,3,M05,74
J25-0027,7,4,M04,32
J25-0027,7,5,M06,88
J25-0027,7,6,M08,19
J25-0027,7,7,M09,48
J25-0027,7,8,M07,36
J25-0027,7,9,M03,79
J25-0028,0,0,M00,29
J25-0028,0,1,M01,78
J25-0028,0,2,M02,9
J25-0028,0,3,M03,36
J25-0028,0,4,M04,49
J25-0028,0,5,M05,11
J25-0028,0,6,M06,62
J25-0028,0,7,M07,56
J25-0028,0,8,M08,44
J25-0028,0,9,M09,21
J25-0029,4,0,M02,14
J25-0029,4,1,M00,6
J25-0029,4,2,M01,22
J25-0029,4,3,M05,61
J25-0029,4,4,M03,26
J25-0029,4,5,M04,69
J25-0029,4,6,M08,21
J25-0029,4,7,M07,49
J25-0029,4,8,M09,72
J25-0029,4,9,M06,53
J25-0030,0,0,M00,29
J25-0030,0,1,M01,78
J25-0030,0,2,M02,9
J25-0030,0,3,M03,36
J25-0030,0,4,M04,49
J25-0030,0,5,M05,11
J25-0030,0,6,M06,62
J25-0030,0,7,M07,56
J25-0030,0,8,M08,44
J25-0030,0,9,M09,21
J25-0031,1,0,M00,43
J25-0031,1,1,M02,90
J25-0031,1,2,M04,75
J25-0031,1,3,M09,11
J25-0031,1,4,M03,69
J25-0031,1,5,M01,28
J25-0031,1,6,M06,46
J25-0031,1,7,M05,46
J25-0031,1,8,M07,72
J25-0031,1,9,M08,30
J25-0032,6,0,M01,46
J25-0032,6,1,M00,37
J25-0032,6,2,M03,61
J25-0032,6,3,M02,13
J25-0032,6,4,M06,32
J25-0032,6,5,M05,21
J25-0032,6,6,M09,32
J25-0032,6,7,M08,89
J25-0032,6,8,M07,30
J25-0032,6,9,M04,55
J25-0033,2,0,M01,91
J25-0033,2,1,M00,85
J25-0033,2,2,M03,39
J25-0033,2,3,M02,74
J25-0033,2,4,M08,90
J25-0033,2,5,M05,10
J25-0033,2,6,M07,12
J25-0033,2,7,M06,89
J25-0033,2,8,M09,45
J25-0033,2,9,M04,33
J25-0034,8,0,M00,76
J25-0034,8,1,M01,69
J25-0034,8,2,M03,76
J25-0034,8,3,M05,51
J25-0034,8,4,M02,85
J25-0034,8,5,M09,11
J25-0034,8,6,M06,40
J25-0034,8,7,M07,89
J25-0034,8,8,M04,26
J25-0034,8,9,M08,74
J25-0035,5,0,M02,84
J25-0035,5,1,M01,2
J25-0035,5,2,M05,52
J25-0035,5,3,M03,95
J25-0035,5,4,M08,48
J25-0035,5,5,M09,72
J25-0035,5,6,M00,47
J25-0035,5,7,M06,65
J25-0035,5,8,M04,6
J25-0035,5,9,M07,25
J25-0036,4,0,M02,14
J25-0036,4,1,M00,6
J25-0036,4,2,M01,22
J25-0036,4,3,M05,61
J25-0036,4,4,M03,26
J25-0036,4,5,M04,69
J25-0036,4,6,M08,21
J25-0036,4,7,M07,49
J25-0036,4,8,M09,72
J25-0036,4,9,M06,53
J25-0037,7,0,M02,31
J25-0037,7,1,M00,86
J25-0037,7,2,M01,46
J25-0037,7,3,M05,74
J25-0037,7,4,M04,32
J25-0037,7,5,M06,88
J25-0037,7,6,M08,19
J25-0037,7,7,M09,48
J25-0037,7,8,M07,36
J25-0037,7,9,M03,79
J25-0038,3,0,M01,81
J25-0038,3,1,M02,95
J25-0038,3,2,M00,71
J25-0038,3,3,M04,99
J25-0038,3,4,M06,9
J25-0038,3,5,M08,52
J25-0038,3,6,M07,85
J25-0038,3,7,M03,98
J25-0038,3,8,M09,22
J25-0038,3,9,M05,43
J25-0039,9,0,M01,85
J25-0039,9,1,M00,13
J25-0039,9,2,M02,61
J25-0039,9,3,M06,7
J25-0039,9,4,M08,64
J25-0039,9,5,M09,76
J25-0039,9,6,M05,47
J25-0039,9,7,M03,52
J25-0039,9,8,M04,90
J25-0039,9,9,M07,45
J25-0040,0,0,M00,29
J25-0040,0,1,M01,78
J25-0040,0,2,M02,9
J25-0040,0,3,M03,36
J25-0040,0,4,M04,49
J25-0040,0,5,M05,11
J25-0040,0,6,M06,62
J25-0040,0,7,M07,56
J25-0040,0,8,M08,44
J25-0040,0,9,M09,21
J25-0041,9,0,M01,85
J25-0041,9,1,M00,13
J25-0041,9,2,M02,61
J25-0041,9,3,M06,7
J25-0041,9,4,M08,64
J25-0041,9,5,M09,76
J25-0041,9,6,M05,47
J25-0041,9,7,M03,52
J25-0041,9,8,M04,90
J25-0041,9,9,M07,45
J25-0042,8,0,M00,76
J25-0042,8,1,M01,69
J25-0042,8,2,M03,76
J25-0042,8,3,M05,51
J25-0042,8,4,M02,85
J25-0042,8,5,M09,11
J25-0042,8,6,M06,40
J25-0042,8,7,M07,89
J25-0042,8,8,M04,26
J25-0042,8,9,M08,74
J25-0043,1,0,M00,43
J25-0043,1,1,M02,90
J25-0043,1,2,M04,75
J25-0043,1,3,M09,11
J25-0043,1,4,M03,69
J25-0043,1,5,M01,28
J25-0043,1,6,M06,46
J25-0043,1,7,M05,46
J25-0043,1,8,M07,72
J25-0043,1,9,M08,30
J25-0044,5,0,M02,84
J25-0044,5,1,M01,2
J25-0044,5,2,M05,52
J25-0044,5,3,M03,95
J25-0044,5,4,M08,48
J25-0044,5,5,M09,72
J25-0044,5,6,M00,47
J25-0044,5,7,M06,65
J25-0044,5,8,M04,6
J25-0044,5,9,M07,25
J25-0045,6,0,M01,46
J25-0045,6,1,M00,37
J25-0045,6,2,M03,61
J25-0045,6,3,M02,13
J25-0045,6,4,M06,32
J25-0045,6,5,M05,21
J25-0045,6,6,M09,32
J25-0045,6,7,M08,89
J25-0045,6,8,M07,30
J25-0045,6,9,M04,55
J25-0046,3,0,M01,81
J25-0046,3,1,M02,95
J25-0046,3,2,M00,71
J25-0046,3,3,M04,99
J25-0046,3,4,M06,9
J25-0046,3,5,M08,52
J25-0046,3,6,M07,85
J25-0046,3,7,M03,98
J25-0046,3,8,M09,22
J25-0046,3,9,M05,43
J25-0047,4,0,M02,14
J25-0047,4,1,M00,6
J25-0047,4,2,M01,22
J25-0047,4,3,M05,61
J25-0047,4,4,M03,26
J25-0047,4,5,M04,69
J25-0047,4,6,M08,21
J25-0047,4,7,M07,49
J25-0047,4,8,M09,72
J25-0047,4,9,M06,53
J25-0048,7,0,M02,31
J25-0048,7,1,M00,86
J25-0048,7,2,M01,46
J25-0048,7,3,M05,74
J25-0048,7,4,M04,32
J25-0048,7,5,M06,88
J25-0048,7,6,M08,19
J25-0048,7,7,M09,48
J25-0048,7,8,M07,36
J25-0048,7,9,M03,79
J25-0049,2,0,M01,91
J25-0049,2,1,M00,85
J25-0049,2,2,M03,39
J25-0049,2,3,M02,74
J25-0049,2,4,M08,90
J25-0049,2,5,M05,10
J25-0049,2,6,M07,12
J25-0049,2,7,M06,89
J25-0049,2,8,M09,45
J25-0049,2,9,M04,33
J25-0050,6,0,M01,46
J25-0050,6,1,M00,37
J25-0050,6,2,M03,61
J25-0050,6,3,M02,13
J25-0050,6,4,M06,32
J25-0050,6,5,M05,21
J25-0050,6,6,M09,32
J25-0050,6,7,M08,89
J25-0050,6,8,M07,30
J25-0050,6,9,M04,55
J25-0051,4,0,M02,14
J25-0051,4,1,M00,6
J25-0051,4,2,M01,22
J25-0051,4,3,M05,61
J25-0051,4,4,M03,26
J25-0051,4,5,M04,69
J25-0051,4,6,M08,21
J25-0051,4,7,M07,49
J25-0051,4,8,M09,72
J25-0051,4,9,M06,53
J25-0052,8,0,M00,76
J25-0052,8,1,M01,69
J25-0052,8,2,M03,76
J25-0052,8,3,M05,51
J25-0052,8,4,M02,85
J25-0052,8,5,M09,11
J25-0052,8,6,M06,40
J25-0052,8,7,M07,89
J25-0052,8,8,M04,26
J25-0052,8,9,M08,74
J25-0053,9,0,M01,85
J25-0053,9,1,M00,13
J25-0053,9,2,M02,61
J25-0053,9,3,M06,7
J25-0053,9,4,M08,64
J25-0053,9,5,M09,76
J25-0053,9,6,M05,47
J25-0053,9,7,M03,52
J25-0053,9,8,M04,90
J25-0053,9,9,M07,45
J25-0054,0,0,M00,29
J25-0054,0,1,M01,78
J25-0054,0,2,M02,9
J25-0054,0,3,M03,36
J25-0054,0,4,M04,49
J25-0054,0,5,M05,11
J25-0054,0,6,M06,62
J25-0054,0,7,M07,56
J25-0054,0,8,M08,44
J25-0054,0,9,M09,21
J25-0055,7,0,M02,31
J25-0055,7,1,M00,86
J25-0055,7,2,M01,46
J25-0055,7,3,M05,74
J25-0055,7,4,M04,32
J25-0055,7,5,M06,88
J25-0055,7,6,M08,19
J25-0055,7,7,M09,48
J25-0055,7,8,M07,36
J25-0055,7,9,M03,79
J25-0056,5,0,M02,84
J25-0056,5,1,M01,2
J25-0056,5,2,M05,52
J25-0056,5,3,M03,95
J25-0056,5,4,M08,48
J25-0056,5,5,M09,72
J25-0056,5,6,M00,47
J25-0056,5,7,M06,65
J25-0056,5,8,M04,6
J25-0056,5,9,M07,25
J25-0057,2,0,M01,91
J25-0057,2,1,M00,85
J25-0057,2,2,M03,39
J25-0057,2,3,M02,74
J25-0057,2,4,M08,90
J25-0057,2,5,M05,10
J25-0057,2,6,M07,12
J25-0057,2,7,M06,89
J25-0057,2,8,M09,45
J25-0057,2,9,M04,33
J25-0058,3,0,M01,81
J25-0058,3,1,M02,95
J25-0058,3,2,M00,71
J25-0058,3,3,M04,99
J25-0058,3,4,M06,9
J25-0058,3,5,M08,52
J25-0058,3,6,M07,85
J25-0058,3,7,M03,98
J25-0058,3,8,M09,22
J25-0058,3,9,M05,43
J25-0059,1,0,M00,43
J25-0059,1,1,M02,90
J25-0059,1,2,M04,75
J25-0059,1,3,M09,11
J25-0059,1,4,M03,69
J25-0059,1,5,M01,28
J25-0059,1,6,M06,46
J25-0059,1,7,M05,46
J25-0059,1,8,M07,72
J25-0059,1,9,M08,30
J25-0060,1,0,M00,43
J25-0060,1,1,M02,90
J25-0060,1,2,M04,75
J25-0060,1,3,M09,11
J25-0060,1,4,M03,69
J25-0060,1,5,M01,28
J25-0060,1,6,M06,46
J25-0060,1,7,M05,46
J25-0060,1,8,M07,72
J25-0060,1,9,M08,30
J25-0061,9,0,M01,85
J25-0061,9,1,M00,13
J25-0061,9,2,M02,61
J25-0061,9,3,M06,7
J25-0061,9,4,M08,64
J25-0061,9,5,M09,76
J25-0061,9,6,M05,47
J25-0061,9,7,M03,52
J25-0061,9,8,M04,90
J25-0061,9,9,M07,45
J25-0062,6,0,M01,46
J25-0062,6,1,M00,37
J25-0062,6,2,M03,61
J25-0062,6,3,M02,13
J25-0062,6,4,M06,32
J25-0062,6,5,M05,21
J25-0062,6,6,M09,32
J25-0062,6,7,M08,89
J25-0062,6,8,M07,30
J25-0062,6,9,M04,55
J25-0063,3,0,M01,81
J25-0063,3,1,M02,95
J25-0063,3,2,M00,71
J25-0063,3,3,M04,99
J25-0063,3,4,M06,9
J25-0063,3,5,M08,52
J25-0063,3,6,M07,85
J25-0063,3,7,M03,98
J25-0063,3,8,M09,22
J25-0063,3,9,M05,43
J25-0064,2,0,M01,91
J25-0064,2,1,M00,85
J25-0064,2,2,M03,39
J25-0064,2,3,M02,74
J25-0064,2,4,M08,90
J25-0064,2,5,M05,10
J25-0064,2,6,M07,12
J25-0064,2,7,M06,89
J25-0064,2,8,M09,45
J25-0064,2,9,M04,33
J25-0065,4,0,M02,14
J25-0065,4,1,M00,6
J25-0065,4,2,M01,22
J25-0065,4,3,M05,61
J25-0065,4,4,M03,26
J25-0065,4,5,M04,69
J25-0065,4,6,M08,21
J25-0065,4,7,M07,49
J25-0065,4,8,M09,72
J25-0065,4,9,M06,53
J25-0066,5,0,M02,84
J25-0066,5,1,M01,2
J25-0066,5,2,M05,52
J25-0066,5,3,M03,95
J25-0066,5,4,M08,48
J25-0066,5,5,M09,72
J25-0066,5,6,M00,47
J25-0066,5,7,M06,65
J25-0066,5,8,M04,6
J25-0066,5,9,M07,25
J25-0067,7,0,M02,31
J25-0067,7,1,M00,86
J25-0067,7,2,M01,46
J25-0067,7,3,M05,74
J25-0067,7,4,M04,32
J25-0067,7,5,M06,88
J25-0067,7,6,M08,19
J25-0067,7,7,M09,48
J25-0067,7,8,M07,36
J25-0067,7,9,M03,79
J25-0068,0,0,M00,29
J25-0068,0,1,M01,78
J25-0068,0,2,M02,9
J25-0068,0,3,M03,36
J25-0068,0,4,M04,49
J25-0068,0,5,M05,11
J25-0068,0,6,M06,62
J25-0068,0,7,M07,56
J25-0068,0,8,M08,44
J25-0068,0,9,M09,21
J25-0069,8,0,M00,76
J25-0069,8,1,M01,69
J25-0069,8,2,M03,76
J25-0069,8,3,M05,51
J25-0069,8,4,M02,85
J25-0069,8,5,M09,11
J25-0069,8,6,M06,40
J25-0069,8,7,M07,89
J25-0069,8,8,M04,26
J25-0069,8,9,M08,74
J25-0070,7,0,M02,31
J25-0070,7,1,M00,86
J25-0070,7,2,M01,46
J25-0070,7,3,M05,74
J25-0070,7,4,M04,32
J25-0070,7,5,M06,88
J25-0070,7,6,M08,19
J25-0070,7,7,M09,48
J25-0070,7,8,M07,36
J25-0070,7,9,M03,79
J25-0071,8,0,M00,76
J25-0071,8,1,M01,69
J25-0071,8,2,M03,76
J25-0071,8,3,M05,51
J25-0071,8,4,M02,85
J25-0071,8,5,M09,11
J25-0071,8,6,M06,40
J25-0071,8,7,M07,89
J25-0071,8,8,M04,26
J25-0071,8,9,M08,74
J25-0072,6,0,M01,46
J25-0072,6,1,M00,37
J25-0072,6,2,M03,61
J25-0072,6,3,M02,13
J25-0072,6,4,M06,32
J25-0072,6,5,M05,21
J25-0072,6,6,M09,32
J25-0072,6,7,M08,89
J25-0072,6,8,M07,30
J25-0072,6,9,M04,55
J25-0073,3,0,M01,81
J25-0073,3,1,M02,95
J25-0073,3,2,M00,71
J25-0073,3,3,M04,99
J25-0073,3,4,M06,9
J25-0073,3,5,M08,52
J25-0073,3,6,M07,85
J25-0073,3,7,M03,98
J25-0073,3,8,M09,22
J25-0073,3,9,M05,43
J25-0074,2,0,M01,91
J25-0074,2,1,M00,85
J25-0074,2,2,M03,39
J25-0074,2,3,M02,74
J25-0074,2,4,M08,90
J25-0074,2,5,M05,10
J25-0074,2,6,M07,12
J25-0074,2,7,M06,89
J25-0074,2,8,M09,45
J25-0074,2,9,M04,33
J25-0075,4,0,M02,14
J25-0075,4,1,M00,6
J25-0075,4,2,M01,22
J25-0075,4,3,M05,61
J25-0075,4,4,M03,26
J25-0075,4,5,M04,69
J25-0075,4,6,M08,21
J25-0075,4,7,M07,49
J25-0075,4,8,M09,72
J25-0075,4,9,M06,53
J25-0076,1,0,M00,43
J25-0076,1,1,M02,90
J25-0076,1,2,M04,75
J25-0076,1,3,M09,11
J25-0076,1,4,M03,69
J25-0076,1,5,M01,28
J25-0076,1,6,M06,46
J25-0076,1,7,M05,46
J25-0076,1,8,M07,72
J25-0076,1,9,M08,30
J25-0077,9,0,M01,85
J25-0077,9,1,M00,13
J25-0077,9,2,M02,61
J25-0077,9,3,M06,7
J25-0077,9,4,M08,64
J25-0077,9,5,M09,76
J25-0077,9,6,M05,47
J25-0077,9,7,M03,52
J25-0077,9,8,M04,90
J25-0077,9,9,M07,45
J25-0078,5,0,M02,84
J25-0078,5,1,M01,2
J25-0078,5,2,M05,52
J25-0078,5,3,M03,95
J25-0078,5,4,M08,48
J25-0078,5,5,M09,72
J25-0078,5,6,M00,47
J25-0078,5,7,M06,65
J25-0078,5,8,M04,6
J25-0078,5,9,M07,25
J25-0079,0,0,M00,29
J25-0079,0,1,M01,78
J25-0079,0,2,M02,9
J25-0079,0,3,M03,36
J25-0079,0,4,M04,49
J25-0079,0,5,M05,11
J25-0079,0,6,M06,62
J25-0079,0,7,M07,56
J25-0079,0,8,M08,44
J25-0079,0,9,M09,21
J25-0080,2,0,M01,91
J25-0080,2,1,M00,85
J25-0080,2,2,M03,39
J25-0080,2,3,M02,74
J25-0080,2,4,M08,90
J25-0080,2,5,M05,10
J25-0080,2,6,M07,12
J25-0080,2,7,M06,89
J25-0080,2,8,M09,45
J25-0080,2,9,M04,33
J25-0081,4,0,M02,14
J25-0081,4,1,M00,6
J25-0081,4,2,M01,22
J25-0081,4,3,M05,61
J25-0081,4,4,M03,26
J25-0081,4,5,M04,69
J25-0081,4,6,M08,21
J25-0081,4,7,M07,49
J25-0081,4,8,M09,72
J25-0081,4,9,M06,53
J25-0082,7,0,M02,31
J25-0082,7,1,M00,86
J25-0082,7,2,M01,46
J25-0082,7,3,M05,74
J25-0082,7,4,M04,32
J25-0082,7,5,M06,88
J25-0082,7,6,M08,19
J25-0082,7,7,M09,48
J25-0082,7,8,M07,36
J25-0082,7,9,M03,79
J25-0083,0,0,M00,29
J25-0083,0,1,M01,78
J25-0083,0,2,M02,9
J25-0083,0,3,M03,36
J25-0083,0,4,M04,49
J25-0083,0,5,M05,11
J25-0083,0,6,M06,62
J25-0083,0,7,M07,56
J25-0083,0,8,M08,44
J25-0083,0,9,M09,21
J25-0084,1,0,M00,43
J25-0084,1,1,M02,90
J25-0084,1,2,M04,75
J25-0084,1,3,M09,11
J25-0084,1,4,M03,69
J25-0084,1,5,M01,28
J25-0084,1,6,M06,46
J25-0084,1,7,M05,46
J25-0084,1,8,M07,72
J25-0084,1,9,M08,30
J25-0085,6,0,M01,46
J25-0085,6,1,M00,37
J25-0085,6,2,M03,61
J25-0085,6,3,M02,13
J25-0085,6,4,M06,32
J25-0085,6,5,M05,21
J25-0085,6,6,M09,32
J25-0085,6,7,M08,89
J25-0085,6,8,M07,30
J25-0085,6,9,M04,55
J25-0086,5,0,M02,84
J25-0086,5,1,M01,2
J25-0086,5,2,M05,52
J25-0086,5,3,M03,95
J25-0086,5,4,M08,48
J25-0086,5,5,M09,72
J25-0086,5,6,M00,47
J25-0086,5,7,M06,65
J25-0086,5,8,M04,6
J25-0086,5,9,M07,25
J25-0087,8,0,M00,76
J25-0087,8,1,M01,69
J25-0087,8,2,M03,76
J25-0087,8,3,M05,51
J25-0087,8,4,M02,85
J25-0087,8,5,M09,11
J25-0087,8,6,M06,40
J25-0087,8,7,M07,89
J25-0087,8,8,M04,26
J25-0087,8,9,M08,74
J25-0088,3,0,M01,81
J25-0088,3,1,M02,95
J25-0088,3,2,M00,71
J25-0088,3,3,M04,99
J25-0088,3,4,M06,9
J25-0088,3,5,M08,52
J25-0088,3,6,M07,85
J25-0088,3,7,M03,98
J25-0088,3,8,M09,22
J25-0088,3,9,M05,43
J25-0089,9,0,M01,85
J25-0089,9,1,M00,13
J25-0089,9,2,M02,61
J25-0089,9,3,M06,7
J25-0089,9,4,M08,64
J25-0089,9,5,M09,76
J25-0089,9,6,M05,47
J25-0089,9,7,M03,52
J25-0089,9,8,M04,90
J25-0089,9,9,M07,45
J25-0090,5,0,M02,84
J25-0090,5,1,M01,2
J25-0090,5,2,M05,52
J25-0090,5,3,M03,95
J25-0090,5,4,M08,48
J25-0090,5,5,M09,72
J25-0090,5,6,M00,47
J25-0090,5,7,M06,65
J25-0090,5,8,M04,6
J25-0090,5,9,M07,25
J25-0091,9,0,M01,85
J25-0091,9,1,M00,13
J25-0091,9,2,M02,61
J25-0091,9,3,M06,7
J25-0091,9,4,M08,64
J25-0091,9,5,M09,76
J25-0091,9,6,M05,47
J25-0091,9,7,M03,52
J25-0091,9,8,M04,90
J25-0091,9,9,M07,45
J25-0092,4,0,M02,14
J25-0092,4,1,M00,6
J25-0092,4,2,M01,22
J25-0092,4,3,M05,61
J25-0092,4,4,M03,26
J25-0092,4,5,M04,69
J25-0092,4,6,M08,21
J25-0092,4,7,M07,49
J25-0092,4,8,M09,72
J25-0092,4,9,M06,53
