Job,Routing_ID,Arrival,Ready Time,End,Job Processing Time,Deadline
J25-0123,8,8325,8640,11174.0,597,10810
J25-0124,3,8445,8640,10645.0,655,10325
J25-0125,7,8546,8640,11329.0,539,11053
J25-0126,6,8616,8640,10889.0,416,10437
J25-0127,1,8648,10080,11910.0,510,12444
J25-0128,2,8681,10080,11259.0,568,11740
J25-0129,9,8695,10080,11873.0,540,12456
J25-0130,1,8705,10080,12191.0,510,12982
J25-0131,8,8745,10080,12121.0,597,11658
J25-0132,6,8852,10080,11413.0,416,12448
J25-0133,5,8853,10080,11473.0,496,11987
J25-0134,0,8894,10080,12333.0,395,11198
J25-0135,3,9048,10080,12022.0,655,11684
J25-0136,2,9102,10080,12341.0,568,11449
J25-0137,4,9156,10080,12503.0,393,12753
J25-0138,9,9176,10080,12472.0,540,11731
J25-0139,7,9191,10080,12286.0,539,12207
J25-0140,2,9212,10080,12519.0,568,11565
J25-0141,9,9247,10080,12517.0,540,11498
J25-0142,3,9249,10080,12310.0,655,12257
J25-0143,8,9325,10080,13044.0,597,11059
J25-0144,0,9341,10080,12354.0,395,11263
J25-0145,5,9534,10080,12682.0,496,12350
J25-0146,4,9563,10080,12660.0,393,12696
J25-0147,6,9623,10080,12486.0,416,11463
J25-0148,1,9642,10080,12221.0,510,12467
J25-0149,7,9692,10080,12886.0,539,11754
J25-0150,0,9726,10080,12492.0,395,11757
J25-0151,5,9727,10080,12819.0,496,11785
J25-0152,2,10034,10080,12651.0,568,12189
J25-0153,9,10154,11520,13626.0,540,13617
J25-0154,3,10164,11520,13302.0,655,12650
J25-0155,1,10291,11520,13093.0,510,12534
J25-0156,7,10418,11520,13414.0,539,12721
J25-0157,8,10554,11520,13456.0,597,14015
J25-0158,4,10708,11520,13506.0,393,15228
J25-0159,6,10718,11520,13437.0,416,14624
J25-0160,7,10951,11520,13532.0,539,13198
J25-0161,0,10985,11520,13521.0,395,12985
J25-0162,5,11023,11520,13476.0,496,13393
J25-0163,8,11099,11520,14027.0,597,13111
J25-0164,2,11170,11520,13470.0,568,14437
J25-0165,3,11311,11520,13424.0,655,13616
J25-0166,9,11365,11520,13790.0,540,12384
J25-0167,6,11371,11520,13711.0,416,12933
J25-0168,4,11408,11520,13650.0,393,13540
J25-0169,1,11412,11520,13311.0,510,12719
J25-0170,0,11484,11520,13646.0,395,13702
J25-0171,4,11611,12960,14771.0,393,15563
J25-0172,8,11667,12960,14691.0,597,15102
J25-0173,5,11718,12960,14857.0,496,14430
J25-0174,2,11788,12960,14119.0,568,14950
J25-0175,7,11958,12960,14911.0,539,14326
J25-0176,3,11971,12960,14466.0,655,16309
J25-0177,6,12020,12960,14710.0,416,14630
J25-0178,9,12137,12960,14796.0,540,14100
J25-0179,1,12198,12960,14467.0,510,14420
J25-0180,0,12202,12960,14856.0,395,14472
J25-0181,2,12245,12960,14796.0,568,14195
J25-0182,5,12257,12960,15082.0,496,14918
J25-0183,3,12304,12960,14688.0,655,14172
J25-0184,9,12315,12960,15057.0,540,14788
J25-0185,6,12428,12960,15031.0,416,14312
J25-0186,4,12479,12960,14898.0,393,15153
J25-0187,1,12609,12960,14721.0,510,14734
J25-0188,8,12914,12960,15046.0,597,14357
J25-0189,7,12931,12960,15101.0,539,16418
J25-0190,6,12985,14400,15415.0,416,16169
J25-0191,8,13016,14400,16065.0,597,16277
J25-0192,3,13058,14400,16052.0,655,16332
J25-0193,5,13072,14400,16590.0,496,15951
J25-0194,7,13329,14400,16354.0,539,16404
J25-0195,4,13592,14400,16490.0,393,17542
J25-0196,9,13662,14400,15663.0,540,16376
J25-0197,2,13714,14400,15768.0,568,16420
J25-0198,1,13807,14400,15991.0,510,16456
J25-0199,0,13835,14400,16435.0,395,15700
J25-0200,5,13840,14400,16615.0,496,15817
J25-0201,8,13892,14400,16286.0,597,16453
J25-0202,6,13926,14400,15872.0,416,15381
J25-0203,0,14015,14400,16487.0,395,17482
J25-0204,2,14117,14400,16485.0,568,16931
J25-0205,9,14149,14400,16565.0,540,16126
J25-0206,3,14177,14400,16106.0,655,15896
J25-0207,7,14245,14400,16494.0,539,16270
J25-0208,4,14338,14400,16612.0,393,16117
J25-0209,1,14358,14400,16135.0,510,15816
J25-0210,4,14367,14400,16684.0,393,17063
J25-0211,3,14389,14400,16340.0,655,16473
J25-0212,7,14739,15840,17492.0,539,18548
J25-0213,6,14747,15840,16887.0,416,17244
J25-0214,9,14813,15840,17491.0,540,17040
J25-0215,1,15011,15840,17219.0,510,17702
J25-0216,2,15077,15840,17562.0,568,17312
J25-0217,0,15113,15840,16942.0,395,17695
J25-0218,8,15178,15840,17603.0,597,18042
J25-0219,5,15330,15840,17081.0,496,17978
J25-0220,3,15384,15840,17426.0,655,17675
J25-0221,0,15445,15840,17548.0,395,17866
J25-0222,9,15461,15840,17741.0,540,17349
J25-0223,8,15513,15840,17766.0,597,17294
J25-0224,6,15583,15840,17855.0,416,17032
J25-0225,4,15645,15840,17702.0,393,17849
J25-0226,7,15665,15840,17571.0,539,17321
J25-0227,5,15685,15840,17516.0,496,17949
J25-0228,2,15715,15840,17800.0,568,17538
J25-0229,1,15823,15840,17283.0,510,17244
J25-0230,5,15932,17280,18830.0,496,19783
J25-0231,0,16019,17280,19218.0,395,18575
J25-0232,6,16044,17280,18445.0,416,19003
J25-0233,2,16083,17280,18510.0,568,19055
J25-0234,3,16122,17280,19006.0,655,18785
J25-0235,8,16198,17280,18909.0,597,20190
J25-0236,9,16318,17280,19261.0,540,19448
J25-0237,7,16478,17280,19246.0,539,18928
J25-0238,1,16585,17280,18958.0,510,18746
J25-0239,4,16626,17280,19343.0,393,19369
J25-0240,4,16650,17280,19507.0,393,19469
J25-0241,3,16689,17280,19057.0,655,19392
J25-0242,5,16765,17280,19472.0,496,19019
J25-0243,7,16774,17280,19555.0,539,19397
J25-0244,6,16935,17280,18703.0,416,19509
J25-0245,0,16980,17280,19382.0,395,18966
J25-0246,2,17019,17280,19368.0,568,18677
J25-0247,1,17162,17280,19049.0,510,18435
J25-0248,8,17192,17280,19123.0,597,18979
J25-0249,9,17201,17280,19447.0,540,19576
J25-0250,8,17231,17280,19706.0,597,18510
J25-0251,1,17253,17280,19153.0,510,18615
J25-0252,2,17356,18720,19758.0,568,20867
J25-0253,3,17446,18720,20279.0,655,21855
J25-0254,4,17472,18720,20441.0,393,21017
J25-0255,5,17526,18720,20106.0,496,20956
J25-0256,0,17541,18720,20604.0,395,20772
J25-0257,9,17599,18720,20544.0,540,20639
J25-0258,6,17686,18720,20191.0,416,20728
J25-0259,7,17709,18720,20372.0,539,21544
J25-0260,9,17786,18720,20681.0,540,21448
J25-0261,8,17821,18720,20450.0,597,20687
J25-0262,4,17861,18720,20648.0,393,20777
J25-0263,3,18069,18720,20444.0,655,20443
J25-0264,0,18269,18720,20665.0,395,20126
J25-0265,2,18363,18720,20622.0,568,20424
J25-0266,1,18407,18720,20287.0,510,19894
J25-0267,6,18426,18720,20766.0,416,19532
J25-0268,7,18545,18720,20503.0,539,21131
J25-0269,5,18617,18720,20736.0,496,21054
J25-0270,7,18698,18720,20763.0,539,20954
J25-0271,9,18722,20160,21221.0,540,22332
J25-0272,8,18892,20160,21555.0,597,22213
J25-0273,2,18978,20160,21345.0,568,22164
J25-0274,0,18981,20160,21656.0,395,22382
J25-0275,6,19131,20160,21231.0,416,23213
J25-0276,1,19443,20160,21323.0,510,21474
J25-0277,3,19665,20160,21721.0,655,22425
J25-0278,5,19703,20160,21419.0,496,22421
J25-0279,4,19711,20160,21985.0,393,22431
J25-0280,8,19776,20160,21841.0,597,22292
J25-0281,7,19871,20160,21890.0,539,22283
J25-0282,0,19933,20160,21953.0,395,21818
J25-0283,9,19969,20160,21580.0,540,21701
J25-0284,2,20034,20160,21741.0,568,21514
J25-0285,6,20082,20160,21639.0,416,21967
J25-0286,5,20124,20160,21885.0,496,21705
J25-0287,4,20191,21600,23473.0,393,25019
J25-0288,1,20197,21600,23157.0,510,24015
J25-0289,3,20257,21600,23160.0,655,22838
J25-0290,0,20292,21600,23711.0,395,23419
J25-0291,3,20336,21600,23224.0,655,22970
J25-0292,9,20347,21600,23547.0,540,23372
J25-0293,6,20504,21600,23036.0,416,22910
J25-0294,8,20536,21600,23344.0,597,24658
J25-0295,1,20707,21600,23229.0,510,22924
J25-0296,4,20751,21600,23647.0,393,24462
J25-0297,5,20793,21600,22873.0,496,23669
J25-0298,7,20846,21600,23637.0,539,23939
J25-0299,2,20939,21600,23303.0,568,23150
J25-0300,5,20968,21600,23673.0,496,23807
J25-0301,0,20983,21600,23972.0,395,23257
J25-0302,1,21017,21600,23435.0,510,25478
J25-0303,3,21087,21600,23555.0,655,23703
J25-0304,9,21268,21600,23648.0,540,22866
J25-0305,7,21426,21600,24105.0,539,23803
J25-0306,2,21496,21600,23737.0,568,23795
J25-0307,8,21606,23040,24061.0,597,24933
J25-0308,6,21646,23040,23951.0,416,24774
J25-0309,4,21722,23040,24499.0,393,25804
J25-0310,1,21975,23040,24220.0,510,25081
J25-0311,2,22314,23040,23984.0,568,24620
J25-0312,0,22397,23040,24467.0,395,26501
J25-0313,9,22477,23040,24504.0,540,24907
J25-0314,3,22575,23040,24320.0,655,25888
J25-0315,6,22631,23040,24348.0,416,24784
J25-0316,4,22701,23040,24592.0,393,24898
J25-0317,5,22811,23040,24529.0,496,25023
J25-0318,7,22877,23040,24489.0,539,24563
J25-0319,8,23031,23040,24361.0,597,25000
J25-0320,8,23076,24480,25889.0,597,25939
J25-0321,3,23140,24480,25979.0,655,26510
J25-0322,0,23225,24480,25977.0,395,26457
J25-0323,9,23411,24480,25848.0,540,27172
J25-0324,5,23516,24480,26170.0,496,25538
J25-0325,1,23609,24480,26013.0,510,26341
J25-0326,6,23620,24480,25357.0,416,25834
J25-0327,4,23722,24480,26293.0,393,26111
J25-0328,7,23792,24480,26175.0,539,26583
J25-0329,2,23937,24480,25789.0,568,27447
J25-0330,6,23982,24480,25585.0,416,26235
J25-0331,5,23982,24480,26381.0,496,26556
J25-0332,2,24012,24480,26378.0,568,26048
J25-0333,4,24015,24480,26386.0,393,27317
J25-0334,0,24103,24480,26366.0,395,25925
J25-0335,3,24115,24480,26156.0,655,26141
J25-0336,8,24214,24480,26622.0,597,27079
J25-0337,1,24296,24480,26094.0,510,25841
J25-0338,9,24386,24480,26356.0,540,26848
J25-0339,7,24408,24480,26390.0,539,25983
J25-0340,6,24486,25920,26796.0,416,27299
J25-0341,5,24523,25920,27446.0,496,29763
J25-0342,3,24578,25920,27213.0,655,27744
J25-0343,1,24625,25920,27209.0,510,28092
J25-0344,2,25123,25920,27349.0,568,27811
J25-0345,9,25148,25920,27107.0,540,28856
J25-0346,8,25259,25920,27390.0,597,28067
J25-0347,7,25350,25920,27432.0,539,28045
J25-0348,0,25412,25920,27508.0,395,28461
J25-0349,4,25413,25920,27562.0,393,28690
J25-0350,7,25496,25920,27711.0,539,27716
J25-0351,0,25509,25920,27661.0,395,27296
J25-0352,4,25793,25920,27633.0,393,29233
J25-0353,2,25800,25920,27658.0,568,28258
J25-0354,9,25826,25920,27540.0,540,27681
J25-0355,6,25932,27360,28449.0,416,28825
J25-0356,8,26029,27360,28737.0,597,29151
J25-0357,5,26057,27360,28624.0,496,29136
J25-0358,1,26151,27360,28959.0,510,28841
J25-0359,3,26168,27360,29127.0,655,28614
J25-0360,4,26255,27360,29443.0,393,29137
J25-0361,1,26302,27360,29078.0,510,29186
J25-0362,3,26347,27360,29170.0,655,29548
J25-0363,2,26406,27360,29152.0,568,28515
J25-0364,6,26437,27360,29207.0,416,28706
J25-0365,9,26448,27360,29035.0,540,30247
J25-0366,7,26590,27360,29236.0,539,31803
J25-0367,5,26713,27360,29182.0,496,28950
J25-0368,8,26714,27360,28910.0,597,28507
J25-0369,0,26864,27360,29274.0,395,29474
J25-0370,7,27055,27360,29315.0,539,29409
J25-0371,0,27157,27360,29318.0,395,28463
J25-0372,8,27219,27360,29608.0,597,30494
J25-0373,5,27231,27360,29525.0,496,29573
J25-0374,4,27267,27360,29515.0,393,29348
J25-0375,6,27275,27360,29427.0,416,28436
J25-0376,9,27304,27360,29500.0,540,29179
J25-0377,1,27514,28800,30034.0,510,32595
J25-0378,3,27612,28800,30371.0,655,31178
J25-0379,2,27904,28800,30288.0,568,29842
J25-0380,8,27957,28800,30315.0,597,30206
J25-0381,2,27989,28800,30382.0,568,29918
J25-0382,9,27996,28800,30376.0,540,31798
J25-0383,4,28059,28800,30475.0,393,30102
J25-0384,0,28107,28800,30522.0,395,30133
J25-0385,7,28377,28800,30393.0,539,30161
J25-0386,1,28398,28800,30241.0,510,30511
J25-0387,5,28402,28800,30401.0,496,30973
J25-0388,3,28550,28800,30414.0,655,30393
J25-0389,6,28566,28800,30349.0,416,30528
J25-0390,6,28629,28800,30631.0,416,30772
J25-0391,5,28631,28800,30601.0,496,31630
J25-0392,8,28661,28800,30646.0,597,30502
J25-0393,3,28813,30240,31982.0,655,31825
J25-0394,9,28847,30240,31288.0,540,32155
J25-0395,0,28941,30240,32458.0,395,32346
J25-0396,7,28991,30240,31962.0,539,32232
J25-0397,2,29055,30240,31627.0,568,32821
J25-0398,4,29164,30240,32255.0,393,32133
J25-0399,1,29238,30240,31996.0,510,32725
J25-0400,0,29249,30240,32522.0,395,32718
J25-0401,8,29391,30240,32322.0,597,32503
J25-0402,9,29465,30240,31639.0,540,32624
J25-0403,2,29595,30240,31978.0,568,31738
J25-0404,6,29624,30240,31807.0,416,32171
J25-0405,4,29651,30240,32395.0,393,33112
J25-0406,5,29686,30240,31771.0,496,31597
J25-0407,7,29718,30240,32365.0,539,32664
J25-0408,1,29719,30240,32205.0,510,31666
J25-0409,3,29866,30240,32036.0,655,32216
J25-0410,0,29913,30240,32655.0,395,32330
J25-0411,7,29923,30240,32591.0,539,33666
J25-0412,9,29943,30240,32558.0,540,33241
J25-0413,4,29960,30240,32490.0,393,32092
J25-0414,5,30000,30240,32583.0,496,32704
J25-0415,6,30324,31680,32675.0,416,33796
J25-0416,3,30463,31680,33522.0,655,33281
J25-0417,8,30537,31680,33465.0,597,33099
J25-0418,2,30574,31680,32913.0,568,35488
J25-0419,1,30580,31680,33495.0,510,33422
J25-0420,1,30589,31680,33525.0,510,34675
J25-0421,2,30654,31680,33103.0,568,33172
J25-0422,7,30753,31680,34011.0,539,33418
J25-0423,3,30790,31680,33624.0,655,33469
J25-0424,0,30877,31680,33613.0,395,33598
J25-0425,5,30927,31680,33901.0,496,34042
J25-0426,9,30941,31680,33876.0,540,33499
J25-0427,4,30956,31680,33872.0,393,34261
J25-0428,8,31143,31680,34289.0,597,32978
J25-0429,6,31173,31680,33220.0,416,33503
J25-0430,8,31179,31680,34430.0,597,32754
J25-0431,6,31199,31680,33726.0,416,33090
J25-0432,3,31208,31680,34012.0,655,35106
J25-0433,4,31235,31680,34055.0,393,33691
J25-0434,9,31299,31680,33958.0,540,33739
J25-0435,2,31324,31680,34189.0,568,33548
J25-0436,0,31426,31680,33847.0,395,33494
J25-0437,1,31475,31680,33671.0,510,33139
J25-0438,5,31659,31680,34018.0,496,33576
J25-0439,7,31717,33120,34660.0,539,34410
J25-0440,4,31825,33120,35007.0,393,35467
J25-0441,7,31882,33120,34910.0,539,35770
J25-0442,0,32046,33120,35052.0,395,34394
J25-0443,3,32084,33120,34892.0,655,34814
J25-0444,5,32107,33120,34330.0,496,35310
J25-0445,9,32184,33120,34876.0,540,35958
J25-0446,6,32243,33120,34986.0,416,35248
J25-0447,1,32255,33120,34642.0,510,36153
J25-0448,2,32314,33120,35032.0,568,35927
J25-0449,8,32328,33120,34934.0,597,35643
J25-0450,4,32566,33120,35177.0,393,34629
J25-0451,6,32724,33120,35237.0,416,34221
J25-0452,7,32815,33120,35151.0,539,34491
J25-0453,5,32897,33120,34901.0,496,35815
J25-0454,1,32999,33120,35174.0,510,35297
J25-0455,0,33056,33120,35295.0,395,34720
J25-0456,3,33193,34560,36278.0,655,36199
J25-0457,2,33233,34560,35780.0,568,37786
J25-0458,9,33254,34560,35919.0,540,36413
J25-0459,8,33314,34560,36163.0,597,36285
J25-0460,7,33375,34560,36543.0,539,36380
J25-0461,3,33597,34560,36414.0,655,36063
J25-0462,4,33609,34560,36834.0,393,36745
J25-0463,8,33655,34560,36428.0,597,39450
J25-0464,2,33681,34560,35984.0,568,37840
J25-0465,0,33770,34560,36633.0,395,36289
J25-0466,1,33838,34560,36241.0,510,36047
J25-0467,6,33844,34560,36165.0,416,35823
J25-0468,9,33867,34560,36630.0,540,35857
J25-0469,5,33928,34560,36353.0,496,37131
J25-0470,1,34033,34560,36568.0,510,36688
J25-0471,9,34063,34560,36803.0,540,38227
J25-0472,2,34107,34560,36780.0,568,37100
J25-0473,7,34109,34560,36622.0,539,36480
J25-0474,4,34135,34560,36906.0,393,35428
J25-0475,0,34250,34560,36698.0,395,37286
J25-0476,8,34295,34560,37487.0,597,36068
J25-0477,5,34447,34560,36941.0,496,35964
J25-0478,6,34505,34560,36910.0,416,35799
J25-0479,3,34563,36000,37808.0,655,38281
J25-0480,1,34573,36000,37925.0,510,38357
J25-0481,7,34687,36000,38218.0,539,38031
J25-0482,4,34700,36000,38263.0,393,38014
J25-0483,2,34704,36000,37272.0,568,38403
J25-0484,6,34705,36000,37498.0,416,38287
J25-0485,8,34771,36000,38088.0,597,37541
J25-0486,3,34788,36000,38069.0,655,37728
J25-0487,9,34807,36000,38214.0,540,37675
J25-0488,0,34817,36000,38242.0,395,38201
J25-0489,5,34852,36000,37750.0,496,38531
J25-0490,7,34880,36000,38818.0,539,38550
J25-0491,2,34974,36000,38268.0,568,38111
J25-0492,0,35129,36000,38335.0,395,37170
J25-0493,8,35337,36000,38594.0,597,37715
J25-0494,5,35424,36000,38675.0,496,37941
J25-0495,1,35438,36000,38118.0,510,38122
J25-0496,4,35451,36000,38369.0,393,37306
J25-0497,3,35526,36000,38181.0,655,37502
J25-0498,9,35565,36000,38575.0,540,38022
J25-0499,6,35613,36000,38488.0,416,38195
J25-0500,4,35634,36000,38668.0,393,39058
J25-0501,0,35642,36000,38391.0,395,38188
J25-0502,5,35686,36000,38789.0,496,38022
J25-0503,9,35973,36000,38620.0,540,38727
J25-0504,3,36026,37440,39368.0,655,40152
J25-0505,1,36148,37440,38930.0,510,38539
J25-0506,6,36268,37440,38843.0,416,39355
J25-0507,8,36315,37440,39091.0,597,39626
J25-0508,7,36336,37440,39354.0,539,39129
J25-0509,2,36407,37440,39343.0,568,39672
J25-0510,6,36450,37440,39398.0,416,39722
J25-0511,7,36500,37440,39433.0,539,39350
J25-0512,2,36563,37440,39929.0,568,38938
J25-0513,1,36645,37440,39262.0,510,38856
J25-0514,4,36763,37440,39730.0,393,40129
J25-0515,0,36916,37440,39474.0,395,39209
J25-0516,8,36926,37440,39409.0,597,39205
J25-0517,5,36939,37440,39255.0,496,39463
J25-0518,3,36956,37440,39742.0,655,40234
J25-0519,9,36990,37440,39471.0,540,39046
J25-0520,0,37000,37440,39742.0,395,39060
J25-0521,7,37112,37440,39916.0,539,39505
J25-0522,3,37172,37440,39826.0,655,38964
J25-0523,1,37339,37440,40226.0,510,39075
J25-0524,6,37387,37440,40160.0,416,38711
J25-0525,8,37431,37440,40132.0,597,39882
J25-0526,4,37449,38880,41405.0,393,41330
J25-0527,9,37487,38880,40728.0,540,40305
J25-0528,5,37513,38880,40997.0,496,40772
J25-0529,2,37536,38880,40404.0,568,40263
J25-0530,6,37633,38880,40459.0,416,40717
J25-0531,2,37636,38880,41387.0,568,40646
J25-0532,9,37664,38880,41269.0,540,40961
J25-0533,8,37692,38880,40973.0,597,40395
J25-0534,0,37749,38880,41451.0,395,41265
J25-0535,5,37812,38880,41508.0,496,41709
J25-0536,4,37829,38880,41601.0,393,42241
J25-0537,1,37862,38880,41111.0,510,40602
J25-0538,3,37899,38880,41084.0,655,39922
J25-0539,7,37969,38880,41553.0,539,41049
J25-0540,6,38031,38880,41279.0,416,40473
J25-0541,5,38096,38880,41582.0,496,40810
J25-0542,4,38242,38880,41781.0,393,40482
J25-0543,1,38262,38880,41162.0,510,41001
J25-0544,9,38267,38880,41716.0,540,40006
J25-0545,2,38351,38880,41702.0,568,40559
J25-0546,7,38463,38880,41953.0,539,41016
J25-0547,8,38472,38880,42000.0,597,40222
J25-0548,3,38707,38880,41515.0,655,41349
J25-0549,0,38722,38880,41690.0,395,41585
J25-0550,3,38759,38880,41619.0,655,40366
J25-0551,6,38779,38880,41547.0,416,41013
J25-0552,7,38865,38880,42127.0,539,41244
J25-0553,8,38875,38880,42122.0,597,40065
J25-0554,4,38949,40320,42248.0,393,43917
J25-0555,2,38952,40320,42228.0,568,41863
J25-0556,0,38977,40320,42504.0,395,42945
J25-0557,1,39003,40320,42171.0,510,42177
J25-0558,5,39109,40320,42766.0,496,41734
J25-0559,9,39226,40320,42582.0,540,42089
J25-0560,4,39239,40320,42577.0,393,43137
J25-0561,5,39501,40320,42920.0,496,42078
J25-0562,3,39714,40320,42569.0,655,42633
J25-0563,1,39814,40320,42270.0,510,41499
J25-0564,6,39842,40320,42120.0,416,41918
J25-0565,2,39869,40320,42570.0,568,42498
J25-0566,8,39921,40320,42344.0,597,41363
J25-0567,9,39984,40320,42705.0,540,42395
J25-0568,0,40025,40320,42547.0,395,41863
J25-0569,7,40234,40320,42539.0,539,42991
J25-0570,4,40318,40320,42767.0,393,42304
J25-0571,0,40349,41760,43505.0,395,43569
J25-0572,5,40556,41760,43548.0,496,43848
J25-0573,9,40574,41760,43457.0,540,43538
J25-0574,1,40686,41760,43391.0,510,43733
J25-0575,2,40857,41760,43114.0,568,44114
J25-0576,8,40871,41760,43901.0,597,43499
J25-0577,7,40959,41760,43796.0,539,44093
J25-0578,6,40963,41760,43081.0,416,43234
J25-0579,3,40970,41760,43667.0,655,42770
