Job,Production_Plan_ID,Operation,Machine,Arrival,Start,Processing Time,End
5,5,2,M05,464,1763.0,46.33,1809.33
5,5,3,M03,464,1867.09,65.83,1932.92
5,5,4,M08,464,1954.0,52.51,2006.51
5,5,5,M09,464,2119.47,60.9,2180.37
5,5,6,M00,464,2180.37,58.11,2238.48
5,5,7,M06,464,2267.06,54.71,2321.77
5,5,8,M04,464,2388.0,7.72,2395.72
6,6,0,M01,480,1440.0,44.23,1484.23
6,6,1,M00,480,1525.79,40.87,1566.66
6,6,2,M03,480,1566.66,69.74,1636.4
6,6,3,M02,480,1673.08,13.01,1686.09
6,6,4,M06,480,1686.09,44.11,1730.2
6,6,5,M05,480,1730.2,32.18,1762.38
6,6,6,M09,480,1762.38,24.1,1786.48
6,6,7,M08,480,1786.48,94.71,1881.19
6,6,8,M07,480,1881.19,36.88,1918.07
6,6,9,M04,480,2698.79,40.88,2739.67
7,7,0,M02,506,1700.54,43.26,1743.8
7,7,1,M00,506,1831.53,84.8,1916.33
7,7,2,M01,506,1916.33,39.15,1955.48
7,7,3,M05,506,2053.04,53.81,2106.85
7,7,4,M04,506,2131.13,23.27,2154.4
7,7,5,M06,506,2200.24,66.82,2267.06
7,7,6,M08,506,2346.76,25.17,2371.93
7,7,7,M09,506,2412.76,61.26,2474.02
7,7,8,M07,506,2474.02,29.72,2503.74
8,8,0,M00,526,1626.45,87.91,1714.36
8,8,1,M01,526,2033.23,70.25,2103.48
8,8,2,M03,526,2105.97,72.73,2178.7
8,8,3,M05,526,2178.7,49.07,2227.77
8,8,4,M02,526,2323.21,86.75,2409.96
8,8,5,M09,526,2474.02,10.46,2484.48
8,8,6,M06,526,2532.07,40.59,2572.66
8,8,7,M07,526,2588.0,83.33,2671.33
8,8,8,M04,526,2774.86,21.56,2796.42
9,9,0,M01,535,1757.74,86.15,1843.89
9,9,1,M00,535,1916.33,12.22,1928.55
9,9,2,M02,535,2079.11,63.12,2142.23
9,9,3,M06,535,2191.26,8.98,2200.24
9,9,4,M08,535,2200.24,55.25,2255.49
9,9,5,M09,535,2255.49,80.4,2335.89
9,9,6,M05,535,2335.89,63.32,2399.21
9,9,7,M03,535,2440.21,46.86,2487.07
9,9,8,M04,535,2597.72,101.07,2698.79
